experiment_id,ingredient_id,ingredient,concentration,unit_of_concentration,normalized_concentration_%_of_meat,chemical_composition,source,immersion_time,packaging_class,packaging_material,container_type,special_properties,storage_condition_(°c),meat_type,part_of_product,physical_hurdle_tech,application_method,hurdle_coordination,irradiation_dose,indicators,type_of_indicator,lower_level_threshold_(log_cfu/g),upper_level_threshold_(log_cfu/g),unit,initial_count_(day_0),pre_threshold_(day),pre_threshold_count,initial_inhibition_factor,post_threshold_(day),post_threshold_count,post_inhibition_factor,post_threshold_proximity_index_2(tpi),data_source
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,,,,tvc,microbial,5.0,7.0,log cfu/g,3.6,1.0,3.6,0.0,2.0,8.7,5.1,1.243,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,2.2,1.0,2.2,0.0,2.0,7.6,5.4,1.086,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,,,,tvc,microbial,5.0,7.0,log cfu/g,2.3,1.0,2.3,0.0,2.0,7.5,5.2,1.071,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,2.6,1.0,2.6,0.0,2.0,6.4,3.8,0.914,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,2.2,2.0,5.6,1.7,3.0,7.5,1.9,1.071,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tvc,microbial,5.0,7.0,log cfu/g,2.1,2.0,5.4,1.65,3.0,7.2,1.8,1.029,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,,,,tvbn,chemical,20.0,30.0,mg/100g,11.4,1.0,11.4,,2.0,41.0,29.6,1.37,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tvbn,chemical,20.0,30.0,mg/100g,8.4,2.0,26.9,9.25,3.0,64.5,37.6,2.15,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,,,,tvbn,chemical,20.0,30.0,mg/100g,7.0,2.0,24.9,8.95,3.0,60.1,35.2,2.0,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,anm,single,,tvbn,chemical,20.0,30.0,mg/100g,6.9,2.0,21.2,7.15,3.0,42.9,21.7,1.43,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tvbn,chemical,20.0,30.0,mg/100g,6.8,2.0,20.7,6.95,3.0,40.6,19.9,1.35,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tvbn,chemical,20.0,30.0,mg/100g,6.8,2.0,18.8,6.0,3.0,38.9,20.1,1.3,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,,,,pv,chemical,10.0,20.0,meq/kg,1.0,3.0,8.5,2.5,,,,,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,pv,chemical,10.0,20.0,meq/kg,1.0,3.0,8.9,2.633,,,,,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,,,,pv,chemical,10.0,20.0,meq/kg,1.0,3.0,7.3,2.1,,,,,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,anm,single,,pv,chemical,10.0,20.0,meq/kg,1.0,3.0,6.63,1.877,,,,,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,pv,chemical,10.0,20.0,meq/kg,1.0,3.0,4.2,1.067,,,,,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,pv,chemical,10.0,20.0,meq/kg,1.0,3.0,2.9,0.633,,,,,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.15,2.0,0.34,0.095,3.0,0.8,0.46,0.4,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.15,2.0,0.38,0.115,3.0,0.92,0.54,0.46,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,,,,tbars,chemical,0.5,2.0,mg mda/kg,0.14,2.0,0.26,0.06,3.0,0.63,0.37,0.32,theoretical
0,1,control,0.0,% (w/w),0.0,none,none,,,,,,25,fish,skinless carp fillets,,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.14,3.0,0.25,0.037,,,,,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.14,3.0,0.3,0.053,,,,,theoretical
0,1,anodic nacl solution,1.0,% (w/w),1.0,mineral,other natural sources,,,,,,25,fish,skinless carp fillets,,anm,single,,tbars,chemical,0.5,2.0,mg mda/kg,0.14,3.0,0.17,0.01,,,,,theoretical
1,1,control,0.0,%,0.0,none,none,1.0,,,,,4,chicken,broiler wings,,,,,tac,microbial,5.0,7.0,log cfu/g,4.96,5.0,5.87,0.18,,,,,theoretical
1,1,chlorine dioxide,0.3,%,0.3,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.44,9.0,5.54,0.12,,,,,theoretical
1,1,chlorine dioxide,0.5,%,0.5,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.36,9.0,5.75,0.15,,,,,theoretical
1,1,lactic acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.39,9.0,5.62,0.14,,,,,theoretical
1,1,lactic acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.35,9.0,5.79,0.16,,,,,theoretical
1,1,fumaric acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.44,9.0,5.69,0.14,,,,,theoretical
1,1,fumaric acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tac,microbial,5.0,7.0,log cfu/g,4.55,9.0,5.66,0.12,,,,,theoretical
1,1,control,0.0,%,0.0,none,none,1.0,,,,,4,chicken,broiler wings,,,,,e. coli,microbial,2.0,3.0,log cfu/g,2.8,,,,5.0,3.15,0.63,1.05,theoretical
1,1,chlorine dioxide,0.3,%,0.3,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.52,9.0,2.92,0.04,,,,,theoretical
1,1,chlorine dioxide,0.5,%,0.5,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.18,9.0,2.63,0.05,,,,,theoretical
1,1,lactic acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.4,9.0,2.67,0.03,,,,,theoretical
1,1,lactic acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,1.79,9.0,2.13,0.04,,,,,theoretical
1,1,fumaric acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.27,9.0,2.65,0.04,,,,,theoretical
1,1,fumaric acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,e. coli,microbial,2.0,3.0,log cfu/g,2.09,9.0,2.33,0.03,,,,,theoretical
1,1,control,0.0,%,0.0,none,none,1.0,,,,,4,chicken,broiler wings,,,,,tpc,microbial,5.0,7.0,log cfu/g,5.63,5.0,5.7,0.01,,,,,theoretical
1,1,chlorine dioxide,0.3,%,0.3,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.43,9.0,5.77,0.04,,,,,theoretical
1,1,chlorine dioxide,0.5,%,0.5,mineral,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.38,9.0,5.72,0.04,,,,,theoretical
1,1,lactic acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.41,9.0,5.75,0.04,,,,,theoretical
1,1,lactic acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.4,9.0,5.77,0.04,,,,,theoretical
1,1,fumaric acid,0.5,%,0.5,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.47,9.0,5.77,0.03,,,,,theoretical
1,1,fumaric acid,1.0,%,1.0,organic acid,other natural sources,10.0,,,,,4,chicken,broiler wings,,anm,single,,tpc,microbial,5.0,7.0,log cfu/g,5.4,9.0,5.74,0.04,,,,,theoretical
2,1,control,0.0,mg/kg meat,0.0,none,none,,,pa|pp|ps,tray,oxygen-permeable|barrier,4,beef,raw beef patties,,salt,single,,tvc,microbial,5.0,7.0,log cfu/g,4.6,6.0,5.6,0.17,9.0,6.4,0.267,0.914,theoretical
