experiment_id,ingredient_id,ingredient,concentration,unit_of_concentration,normalized_concentration_%_of_meat,chemical_composition,source,immersion_time,storage_temperature,meat_type,part_of_product,physical_hurdle_tech,application_method,hurdle_coordination,irradiation_dose,indicators,type_of_indicator,lower_level_threshold_(log_cfu/g),upper_level_threshold_(log_cfu/g),unit,initial_count_(day_0),pre_threshold_(day),pre_threshold_count,post_threshold_(day),post_threshold_count,data_source,initial_inhibition_factor,post_inhibition_factor,post_threshold_proximity_index_2(tpi)
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.43095697,5.0,3.553012498,7.0,5.721824229,experimental,0.22441110560000005,1.0844058655,1.1443648458
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,9.0,2.812389358,11.0,7.981505871,experimental,0.31248770644444446,2.5845582565000003,1.5963011742000002
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.0,9.0,4.047096881,11.0,30.08413751,experimental,0.4496774312222222,13.018520314500002,2.0056091673333336
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.200136154,14.0,0.626369978,,,experimental,0.030445273142857145,,
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.411281813,5.0,3.615883611,7.0,5.650636856,experimental,0.24092035960000002,1.0173766225,1.1301273712
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,3.981966619,9.0,1.208223768,11.0,9.572911277,experimental,-0.3081936501111111,4.1823437545,1.9145822553999998
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.591913957,9.0,5.251126377,11.0,28.85848436,experimental,0.5176902688888889,11.8036789915,1.9238989573333332
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.135619853,14.0,0.542479412,,,experimental,0.029061397071428574,,
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.303125161,5.0,3.551129322,7.0,5.627660981,experimental,0.24960083219999998,1.0382658295,1.1255321962
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.194911111,9.0,4.255678519,11.0,11.14892,experimental,0.4511963786666667,3.4466207405000002,2.229784
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,2.066057778,9.0,4.255678519,11.0,15.95564,experimental,0.24329119344444447,5.8499807405,1.0637093333333334
b10,1,brevibacillin,1000.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.14201336,14.0,0.568247184,,,experimental,0.03044527314285714,,
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.920724647,5.0,4.246959258,7.0,6.044945693,experimental,0.4652469222000001,0.8989932174999997,1.2089891386
b5,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,9.0,3.195549858,11.0,6.756532929,experimental,0.35506109533333335,1.7804915354999997,1.3513065858
