row_id,context_id,formulation_id,food_matrix,cheese_category,matrix_ph,matrix_water_activity,matrix_moisture_pct,matrix_fat_pct,matrix_protein_pct,matrix_salt_pct,matrix_ripening_days,pasteurization_applied,storage_temperature_c,packaging_type,headspace_oxygen_pct,headspace_co2_pct,headspace_n2_pct,indicator_group,indicator_type,indicator_threshold,indicator_unit,initial_indicator_value,is_control,treatment_type,application_method,ingredient_count,primary_ingredient_name,primary_ingredient_family,primary_concentration,primary_concentration_unit,shelf_life_days,data_origin,training_weight,quality_flag,source_rule_id,base_cheese_name,physical_form,physical_form_source,physical_form_confidence,endpoint_role,is_pathogen_indicator,canonical_indicator_unit,canonical_concentration_value,canonical_concentration_unit,split_group,shelf_life_days_v4_original,target_recalibration_factor,target_recalibration_note,model_task
V4ROW_000091,CTX_00019,FORM_00019_C,gruyère,hard,5.239,0.8977,34.13,32.44,29.51,1.96,156.8,1,4.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,clostridia,3,log CFU/g,0.2,1,none,none,0,none,none,0,none,196.09,synthetic_literature_constrained,0.35,passed_rules,RULE_CONTROL_CONTEXT,gruyère,wheel_or_block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,0.0,none,CTX_00019,196.09,1.0,unchanged_v4,general_shelf_life
V4ROW_000092,CTX_00019,FORM_00019_T1,gruyère,hard,5.239,0.8977,34.13,32.44,29.51,1.96,156.8,1,4.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,clostridia,3,log CFU/g,0.2,0,single_preservative,edible_coating,1,rosemary extract,plant_extract,0.8044,%,243.1,synthetic_literature_constrained,0.35,passed_rules,RULE_PLANT_EXTRACT,gruyère,wheel_or_block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,0.8044,% w/w,CTX_00019,243.1,1.0,unchanged_v4,general_shelf_life
V4ROW_000093,CTX_00019,FORM_00019_T2,gruyère,hard,5.239,0.8977,34.13,32.44,29.51,1.96,156.8,1,4.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,clostridia,3,log CFU/g,0.2,0,single_preservative,in_milk,1,potassium nitrate,nitrate,88.5638,mg/kg,222.01,synthetic_literature_constrained,0.35,passed_rules,RULE_NITRATE,gruyère,wheel_or_block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,88.5638,mg/kg,CTX_00019,222.01,1.0,unchanged_v4,general_shelf_life
V4ROW_000094,CTX_00019,FORM_00019_T3,gruyère,hard,5.239,0.8977,34.13,32.44,29.51,1.96,156.8,1,4.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,clostridia,3,log CFU/g,0.2,0,single_preservative,surface_dip,1,sodium lactate,organic_acid_salt,1.3057,%,235.66,synthetic_literature_constrained,0.35,passed_rules,RULE_ORGANIC_ACID_SALT,gruyère,wheel_or_block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,1.3057,% w/w,CTX_00019,235.66,1.0,unchanged_v4,general_shelf_life
V4ROW_000095,CTX_00019,FORM_00019_T4,gruyère,hard,5.239,0.8977,34.13,32.44,29.51,1.96,156.8,1,4.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,clostridia,3,log CFU/g,0.2,0,single_preservative,in_milk,1,lysozyme,enzyme,258.3644,mg/kg,243.99,synthetic_literature_constrained,0.35,passed_rules,RULE_ENZYME,gruyère,wheel_or_block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,258.3644,mg/kg,CTX_00019,243.99,1.0,unchanged_v4,general_shelf_life
V4ROW_000101,CTX_00021,FORM_00021_C,cheddar,hard,5.23,0.9326,35.78,34.69,25.8,2.13,102.8,1,6.6,vacuum,0,0,0,microbiological,clostridia,3,log CFU/g,0.17,1,none,none,0,none,none,0,none,85.792,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_CONTROL_CONTEXT,cheddar,block,inferred_typical,0.75,spoilage_microbiology,0,log CFU/g,0.0,none,CTX_00021,85.792,1.0,unchanged_v4,general_shelf_life
V4ROW_000102,CTX_00021,FORM_00021_T1,cheddar,hard,5.23,0.9326,35.78,34.69,25.8,2.13,102.8,1,6.6,vacuum,0,0,0,microbiological,clostridia,3,log CFU/g,0.17,0,single_preservative,edible_coating,1,rosemary extract,plant_extract,0.4513,%,102.158,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_PLANT_EXTRACT,cheddar,block,inferred_typical,0.75,spoilage_microbiology,0,log CFU/g,0.4513,% w/w,CTX_00021,102.158,1.0,unchanged_v4,general_shelf_life
V4ROW_000103,CTX_00021,FORM_00021_T2,cheddar,hard,5.23,0.9326,35.78,34.69,25.8,2.13,102.8,1,6.6,vacuum,0,0,0,microbiological,clostridia,3,log CFU/g,0.17,0,single_preservative,surface_spray,1,calcium propionate,organic_acid_salt,0.1074,%,101.624,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_ORGANIC_ACID_SALT,cheddar,block,inferred_typical,0.75,spoilage_microbiology,0,log CFU/g,0.1074,% w/w,CTX_00021,101.624,1.0,unchanged_v4,general_shelf_life
V4ROW_000104,CTX_00021,FORM_00021_T3,cheddar,hard,5.23,0.9326,35.78,34.69,25.8,2.13,102.8,1,6.6,vacuum,0,0,0,microbiological,clostridia,3,log CFU/g,0.17,0,single_preservative,active_film,1,green tea extract,plant_extract,0.6877,%,111.529,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_PLANT_EXTRACT,cheddar,block,inferred_typical,0.75,spoilage_microbiology,0,log CFU/g,0.6877,% w/w,CTX_00021,111.529,1.0,unchanged_v4,general_shelf_life
V4ROW_000105,CTX_00021,FORM_00021_T4,cheddar,hard,5.23,0.9326,35.78,34.69,25.8,2.13,102.8,1,6.6,vacuum,0,0,0,microbiological,clostridia,3,log CFU/g,0.17,0,single_preservative,in_milk,1,lysozyme,enzyme,325.3299,mg/kg,114.575,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_ENZYME,cheddar,block,inferred_typical,0.75,spoilage_microbiology,0,log CFU/g,325.3299,mg/kg,CTX_00021,114.575,1.0,unchanged_v4,general_shelf_life
