row_id,context_id,formulation_id,food_matrix,cheese_category,matrix_ph,matrix_water_activity,matrix_moisture_pct,matrix_fat_pct,matrix_protein_pct,matrix_salt_pct,matrix_ripening_days,pasteurization_applied,storage_temperature_c,packaging_type,headspace_oxygen_pct,headspace_co2_pct,headspace_n2_pct,indicator_group,indicator_type,indicator_threshold,indicator_unit,initial_indicator_value,is_control,treatment_type,application_method,ingredient_count,primary_ingredient_name,primary_ingredient_family,primary_concentration,primary_concentration_unit,shelf_life_days,data_origin,training_weight,quality_flag,source_rule_id,base_cheese_name,physical_form,physical_form_source,physical_form_confidence,endpoint_role,is_pathogen_indicator,canonical_indicator_unit,canonical_concentration_value,canonical_concentration_unit,split_group,shelf_life_days_v4_original,target_recalibration_factor,target_recalibration_note,model_task
V4ROW_000001,CTX_00001,FORM_00001_C,colby,semi_hard,5.381,0.9424,38.85,30.87,23.68,1.58,55.1,1,6.5,map_30co2_70n2,0,30,70,microbiological,total_viable_count,6,log CFU/g,2.26,1,none,none,0,none,none,0,none,70.49,synthetic_literature_constrained,0.35,passed_rules,RULE_CONTROL_CONTEXT,colby,block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,0.0,none,CTX_00001,70.49,1.0,unchanged_v4,general_shelf_life
V4ROW_000002,CTX_00001,FORM_00001_T1,colby,semi_hard,5.381,0.9424,38.85,30.87,23.68,1.58,55.1,1,6.5,map_30co2_70n2,0,30,70,microbiological,total_viable_count,6,log CFU/g,2.26,0,single_preservative,edible_coating,1,clove essential oil,essential_oil,0.1871,%,94.33,synthetic_literature_constrained,0.35,passed_rules,RULE_ESSENTIAL_OIL,colby,block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,0.1871,% w/w,CTX_00001,94.33,1.0,unchanged_v4,general_shelf_life
V4ROW_000003,CTX_00001,FORM_00001_T2,colby,semi_hard,5.381,0.9424,38.85,30.87,23.68,1.58,55.1,1,6.5,map_30co2_70n2,0,30,70,microbiological,total_viable_count,6,log CFU/g,2.26,0,single_preservative,in_milk,1,lysozyme,enzyme,292.5243,mg/kg,82.42,synthetic_literature_constrained,0.35,passed_rules,RULE_ENZYME,colby,block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,292.5243,mg/kg,CTX_00001,82.42,1.0,unchanged_v4,general_shelf_life
V4ROW_000004,CTX_00001,FORM_00001_T3,colby,semi_hard,5.381,0.9424,38.85,30.87,23.68,1.58,55.1,1,6.5,map_30co2_70n2,0,30,70,microbiological,total_viable_count,6,log CFU/g,2.26,0,single_preservative,in_milk,1,chitosan,biopolymer,1.1726,%,110.7,synthetic_literature_constrained,0.35,passed_rules,RULE_BIOPOLYMER,colby,block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,1.1726,% w/w,CTX_00001,110.7,1.0,unchanged_v4,general_shelf_life
V4ROW_000005,CTX_00001,FORM_00001_T4,colby,semi_hard,5.381,0.9424,38.85,30.87,23.68,1.58,55.1,1,6.5,map_30co2_70n2,0,30,70,microbiological,total_viable_count,6,log CFU/g,2.26,0,single_preservative,active_film,1,nisin,bacteriocin,215.7809,IU/g,94.25,synthetic_literature_constrained,0.35,passed_rules,RULE_BACTERIOCIN,colby,block,inferred_typical,0.8,spoilage_microbiology,0,log CFU/g,215.7809,IU/g,CTX_00001,94.25,1.0,unchanged_v4,general_shelf_life
V4ROW_000006,CTX_00002,FORM_00002_C,gouda,semi_hard,5.269,0.9429,36.3,29.73,25.86,2.35,74.2,1,6.8,sealed_high_barrier,20.9,0.04,79.06,chemical,oxidation_index,2,relative_index,0.25,1,none,none,0,none,none,0,none,100.85,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_CONTROL_CONTEXT,gouda,wheel_or_block,inferred_typical,0.8,chemical_quality,0,relative_index,0.0,none,CTX_00002,207.861,0.485180673975,targeted_matrix_repair_restores_v3_median_anchor_report_8_4,general_shelf_life
V4ROW_000007,CTX_00002,FORM_00002_T1,gouda,semi_hard,5.269,0.9429,36.3,29.73,25.86,2.35,74.2,1,6.8,sealed_high_barrier,20.9,0.04,79.06,chemical,oxidation_index,2,relative_index,0.25,0,single_preservative,active_film,1,rosemary essential oil,essential_oil,0.1602,%,131.105,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_ESSENTIAL_OIL,gouda,wheel_or_block,inferred_typical,0.8,chemical_quality,0,relative_index,0.1602,% w/w,CTX_00002,270.219,0.485180673975,targeted_matrix_repair_restores_v3_median_anchor_report_8_4,general_shelf_life
V4ROW_000008,CTX_00002,FORM_00002_T2,gouda,semi_hard,5.269,0.9429,36.3,29.73,25.86,2.35,74.2,1,6.8,sealed_high_barrier,20.9,0.04,79.06,chemical,oxidation_index,2,relative_index,0.25,0,single_preservative,active_film,1,rosemary extract,plant_extract,0.667,%,125.875,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_PLANT_EXTRACT,gouda,wheel_or_block,inferred_typical,0.8,chemical_quality,0,relative_index,0.667,% w/w,CTX_00002,259.44,0.485180673975,targeted_matrix_repair_restores_v3_median_anchor_report_8_4,general_shelf_life
V4ROW_000009,CTX_00002,FORM_00002_T3,gouda,semi_hard,5.269,0.9429,36.3,29.73,25.86,2.35,74.2,1,6.8,sealed_high_barrier,20.9,0.04,79.06,chemical,oxidation_index,2,relative_index,0.25,0,single_preservative,edible_coating,1,eugenol,phenolic_compound,0.0459,%,126.755,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_PHENOLIC_COMPOUND,gouda,wheel_or_block,inferred_typical,0.8,chemical_quality,0,relative_index,0.0459,% w/w,CTX_00002,261.253,0.485180673975,targeted_matrix_repair_restores_v3_median_anchor_report_8_4,general_shelf_life
V4ROW_000010,CTX_00002,FORM_00002_T4,gouda,semi_hard,5.269,0.9429,36.3,29.73,25.86,2.35,74.2,1,6.8,sealed_high_barrier,20.9,0.04,79.06,chemical,oxidation_index,2,relative_index,0.25,0,single_preservative,edible_coating,1,green tea extract,plant_extract,0.6528,%,131.105,synthetic_recalibrated_v4,0.3,recalibrated_v4_targeted,RULE_PLANT_EXTRACT,gouda,wheel_or_block,inferred_typical,0.8,chemical_quality,0,relative_index,0.6528,% w/w,CTX_00002,270.219,0.485180673975,targeted_matrix_repair_restores_v3_median_anchor_report_8_4,general_shelf_life
