row_id,context_id,formulation_id,food_matrix,cheese_category,matrix_ph,matrix_water_activity,matrix_moisture_pct,matrix_fat_pct,matrix_protein_pct,matrix_salt_pct,matrix_ripening_days,pasteurization_applied,storage_temperature_c,packaging_type,headspace_oxygen_pct,headspace_co2_pct,headspace_n2_pct,indicator_group,indicator_type,indicator_threshold,indicator_unit,initial_indicator_value,is_control,treatment_type,application_method,ingredient_count,primary_ingredient_name,primary_ingredient_family,primary_concentration,primary_concentration_unit,shelf_life_days,data_origin,training_weight,quality_flag,source_rule_id,base_cheese_name,physical_form,physical_form_source,physical_form_confidence,endpoint_role,is_pathogen_indicator,canonical_indicator_unit,canonical_concentration_value,canonical_concentration_unit,split_group,shelf_life_days_v4_original,target_recalibration_factor,target_recalibration_note,model_task
V4ROW_000016,CTX_00004,FORM_00004_C,gorgonzola,soft,5.229,0.9684,41.17,29.59,22.75,2.72,73.1,1,10.1,vacuum,0,0,0,microbiological,listeria_monocytogenes,2,log CFU/g,-0.12,1,none,none,0,none,none,0,none,51.78,synthetic_literature_constrained,0.35,passed_rules,RULE_CONTROL_CONTEXT,gorgonzola,whole_wheel,inferred_typical,0.85,safety_pathogen,1,log CFU/g,0.0,none,CTX_00004,51.78,1.0,unchanged_v4,safety_endpoint
V4ROW_000017,CTX_00004,FORM_00004_T1,gorgonzola,soft,5.229,0.9684,41.17,29.59,22.75,2.72,73.1,1,10.1,vacuum,0,0,0,microbiological,listeria_monocytogenes,2,log CFU/g,-0.12,0,single_preservative,edible_coating,1,potassium sorbate,organic_acid_salt,0.9815,%,80.89,synthetic_literature_constrained,0.35,passed_rules,RULE_ORGANIC_ACID_SALT,gorgonzola,whole_wheel,inferred_typical,0.85,safety_pathogen,1,log CFU/g,0.9815,% w/w,CTX_00004,80.89,1.0,unchanged_v4,safety_endpoint
V4ROW_000018,CTX_00004,FORM_00004_T2,gorgonzola,soft,5.229,0.9684,41.17,29.59,22.75,2.72,73.1,1,10.1,vacuum,0,0,0,microbiological,listeria_monocytogenes,2,log CFU/g,-0.12,0,single_preservative,in_milk,1,sodium lactate,organic_acid_salt,1.5773,%,69.47,synthetic_literature_constrained,0.35,passed_rules,RULE_ORGANIC_ACID_SALT,gorgonzola,whole_wheel,inferred_typical,0.85,safety_pathogen,1,log CFU/g,1.5773,% w/w,CTX_00004,69.47,1.0,unchanged_v4,safety_endpoint
V4ROW_000019,CTX_00004,FORM_00004_T3,gorgonzola,soft,5.229,0.9684,41.17,29.59,22.75,2.72,73.1,1,10.1,vacuum,0,0,0,microbiological,listeria_monocytogenes,2,log CFU/g,-0.12,0,single_preservative,edible_coating,1,calcium propionate,organic_acid_salt,0.2046,%,69.27,synthetic_literature_constrained,0.35,passed_rules,RULE_ORGANIC_ACID_SALT,gorgonzola,whole_wheel,inferred_typical,0.85,safety_pathogen,1,log CFU/g,0.2046,% w/w,CTX_00004,69.27,1.0,unchanged_v4,safety_endpoint
V4ROW_000020,CTX_00004,FORM_00004_T4,gorgonzola,soft,5.229,0.9684,41.17,29.59,22.75,2.72,73.1,1,10.1,vacuum,0,0,0,microbiological,listeria_monocytogenes,2,log CFU/g,-0.12,0,single_preservative,edible_coating,1,natamycin,antifungal,19.0888,ppm,57.42,synthetic_literature_constrained,0.35,passed_rules,RULE_ANTIFUNGAL,gorgonzola,whole_wheel,inferred_typical,0.85,safety_pathogen,1,log CFU/g,19.0888,mg/kg,CTX_00004,57.42,1.0,unchanged_v4,safety_endpoint
V4ROW_000021,CTX_00005,FORM_00005_C,camembert,soft,6.583,0.9561,52.9017,25.8252,18.9633,1.3098,23.3,1,9.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,listeria_monocytogenes,2,log CFU/g,0.78,1,none,none,0,none,none,0,none,13.64,synthetic_literature_constrained,0.35,passed_rules,RULE_CONTROL_CONTEXT,camembert,whole_wheel,inferred_typical,0.9,safety_pathogen,1,log CFU/g,0.0,none,CTX_00005,13.64,1.0,unchanged_v4,safety_endpoint
V4ROW_000022,CTX_00005,FORM_00005_T1,camembert,soft,6.583,0.9561,52.9017,25.8252,18.9633,1.3098,23.3,1,9.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,listeria_monocytogenes,2,log CFU/g,0.78,0,single_preservative,edible_coating,1,oregano essential oil,essential_oil,0.2542,%,20.07,synthetic_literature_constrained,0.35,passed_rules,RULE_ESSENTIAL_OIL,camembert,whole_wheel,inferred_typical,0.9,safety_pathogen,1,log CFU/g,0.2542,% w/w,CTX_00005,20.07,1.0,unchanged_v4,safety_endpoint
V4ROW_000023,CTX_00005,FORM_00005_T2,camembert,soft,6.583,0.9561,52.9017,25.8252,18.9633,1.3098,23.3,1,9.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,listeria_monocytogenes,2,log CFU/g,0.78,0,single_preservative,surface_dip,1,sodium lactate,organic_acid_salt,2.2281,%,18.87,synthetic_literature_constrained,0.35,passed_rules,RULE_ORGANIC_ACID_SALT,camembert,whole_wheel,inferred_typical,0.9,safety_pathogen,1,log CFU/g,2.2281,% w/w,CTX_00005,18.87,1.0,unchanged_v4,safety_endpoint
V4ROW_000024,CTX_00005,FORM_00005_T3,camembert,soft,6.583,0.9561,52.9017,25.8252,18.9633,1.3098,23.3,1,9.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,listeria_monocytogenes,2,log CFU/g,0.78,0,single_preservative,active_film,1,thymol,phenolic_compound,0.067,%,17.3,synthetic_literature_constrained,0.35,passed_rules,RULE_PHENOLIC_COMPOUND,camembert,whole_wheel,inferred_typical,0.9,safety_pathogen,1,log CFU/g,0.067,% w/w,CTX_00005,17.3,1.0,unchanged_v4,safety_endpoint
V4ROW_000025,CTX_00005,FORM_00005_T4,camembert,soft,6.583,0.9561,52.9017,25.8252,18.9633,1.3098,23.3,1,9.5,paper_wax_wrap,20.9,0.04,79.06,microbiological,listeria_monocytogenes,2,log CFU/g,0.78,0,single_preservative,edible_coating,1,thyme essential oil,essential_oil,0.2178,%,20.91,synthetic_literature_constrained,0.35,passed_rules,RULE_ESSENTIAL_OIL,camembert,whole_wheel,inferred_typical,0.9,safety_pathogen,1,log CFU/g,0.2178,% w/w,CTX_00005,20.91,1.0,unchanged_v4,safety_endpoint
