row_id,context_id,formulation_id,food_matrix,cheese_category,matrix_ph,matrix_water_activity,matrix_moisture_pct,matrix_fat_pct,matrix_protein_pct,matrix_salt_pct,matrix_ripening_days,pasteurization_applied,storage_temperature_c,packaging_type,headspace_oxygen_pct,headspace_co2_pct,headspace_n2_pct,indicator_group,indicator_type,indicator_threshold,indicator_unit,initial_indicator_value,is_control,treatment_type,application_method,ingredient_count,primary_ingredient_name,primary_ingredient_family,primary_concentration,primary_concentration_unit,shelf_life_days,data_origin,training_weight,quality_flag,source_rule_id,base_cheese_name,physical_form,physical_form_source,physical_form_confidence,endpoint_role,is_pathogen_indicator,canonical_indicator_unit,canonical_concentration_value,canonical_concentration_unit,split_group,shelf_life_days_v4_original,target_recalibration_factor,target_recalibration_note,model_task,is_challenge_test,initial_inoculum_log_cfu_g,target_is_lower_bound,growth_support,physical_form_observed,evidence_class,observed_fields,source_url,source_note,generation_rule_version,routing_category,matrix_profile_confidence,endpoint_threshold_basis
V7ROW_00000001,V7_HARD_GEN_CTX_000001,V7_HARD_GEN_CTX_000001_C,manchego,hard,5.259,0.9066,33.33,33.59,25.97,2.09,122.2,1,2.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,molds,4.0,log CFU/g,0.79,1,none,none,0,none,none,0.0,none,85.18,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.0,none,V7_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000002,V7_HARD_GEN_CTX_000001,V7_HARD_GEN_CTX_000001_T1,manchego,hard,5.259,0.9066,33.33,33.59,25.97,2.09,122.2,1,2.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,molds,4.0,log CFU/g,0.79,0,antifungal,direct_addition,1,potassium sorbate,antifungal,0.4543,% w/w,101.08,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.4543,% w/w,V7_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000003,V7_HARD_GEN_CTX_000001,V7_HARD_GEN_CTX_000001_T2,manchego,hard,5.259,0.9066,33.33,33.59,25.97,2.09,122.2,1,2.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,molds,4.0,log CFU/g,0.79,0,essential_oil,edible_coating,1,thyme essential oil,essential_oil,0.2045,% w/w,105.39,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.2045,% w/w,V7_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000004,V7_HARD_GEN_CTX_000001,V7_HARD_GEN_CTX_000001_T3,manchego,hard,5.259,0.9066,33.33,33.59,25.97,2.09,122.2,1,2.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,molds,4.0,log CFU/g,0.79,0,essential_oil,edible_coating,1,oregano essential oil,essential_oil,0.4322,% w/w,99.26,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.4322,% w/w,V7_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000005,V7_HARD_GEN_CTX_000002,V7_HARD_GEN_CTX_000002_C,manchego,hard,5.393,0.9352,34.62,32.85,26.32,2.05,207.5,1,4.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,yeasts_molds,5.0,log CFU/g,0.64,1,none,none,0,none,none,0.0,none,68.59,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.0,none,V7_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000006,V7_HARD_GEN_CTX_000002,V7_HARD_GEN_CTX_000002_T1,manchego,hard,5.393,0.9352,34.62,32.85,26.32,2.05,207.5,1,4.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,yeasts_molds,5.0,log CFU/g,0.64,0,antifungal,surface_dip,1,natamycin,antifungal,7.73,mg/kg,90.59,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,7.73,mg/kg,V7_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8595390/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Natamycin review: antifungal, not antibacterial; cheese coatings/films; Saloio/soft/semi-hard examples and concentration/application ranges.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000007,V7_HARD_GEN_CTX_000002,V7_HARD_GEN_CTX_000002_T2,manchego,hard,5.393,0.9352,34.62,32.85,26.32,2.05,207.5,1,4.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,yeasts_molds,5.0,log CFU/g,0.64,0,antifungal,edible_coating,1,potassium sorbate,antifungal,0.6304,% w/w,85.67,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.6304,% w/w,V7_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000008,V7_HARD_GEN_CTX_000002,V7_HARD_GEN_CTX_000002_T3,manchego,hard,5.393,0.9352,34.62,32.85,26.32,2.05,207.5,1,4.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,yeasts_molds,5.0,log CFU/g,0.64,0,essential_oil,direct_addition,1,clove essential oil,essential_oil,0.3401,% w/w,77.1,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,manchego,wheel_or_wedge,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.3401,% w/w,V7_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000009,V7_HARD_GEN_CTX_000003,V7_HARD_GEN_CTX_000003_C,pecorino romano,hard,5.452,0.8756,28.97,32.57,31.04,5.23,281.2,0,8.0,map_50co2_50n2,0.5,50.0,49.5,microbiological,clostridia,3.5,log CFU/g,0.92,1,none,none,0,none,none,0.0,none,223.98,synthetic_literature_constrained_v7,1.15,passed_v7_scientific_rules,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,pecorino romano,grated,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,0.0,none,V7_HARD_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_calibrated_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pubmed.ncbi.nlm.nih.gov/40912557/; https://pmc.ncbi.nlm.nih.gov/articles/PMC10177814/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"C. tyrobutyricum challenge in washed-curd cheese: no late-blowing defect at 8C; 3/6 strains caused defect at 15C during 160 d aging. | Clostridial spores and late blowing in Grana-type hard cheese; higher spore loads associated with defect after 7 months. | Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00000010,V7_HARD_GEN_CTX_000003,V7_HARD_GEN_CTX_000003_T1,pecorino romano,hard,5.452,0.8756,28.97,32.57,31.04,5.23,281.2,0,8.0,map_50co2_50n2,0.5,50.0,49.5,microbiological,clostridia,3.5,log CFU/g,0.92,0,enzyme,milk_addition,1,lysozyme,enzyme,93.91,mg/kg,220.0,synthetic_literature_constrained_v7,1.15,passed_v7_scientific_rules,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,pecorino romano,grated,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,93.91,mg/kg,V7_HARD_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_calibrated_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pubmed.ncbi.nlm.nih.gov/40912557/; https://pmc.ncbi.nlm.nih.gov/articles/PMC10177814/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"C. tyrobutyricum challenge in washed-curd cheese: no late-blowing defect at 8C; 3/6 strains caused defect at 15C during 160 d aging. | Clostridial spores and late blowing in Grana-type hard cheese; higher spore loads associated with defect after 7 months. | Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
