row_id,context_id,formulation_id,food_matrix,cheese_category,matrix_ph,matrix_water_activity,matrix_moisture_pct,matrix_fat_pct,matrix_protein_pct,matrix_salt_pct,matrix_ripening_days,pasteurization_applied,storage_temperature_c,packaging_type,headspace_oxygen_pct,headspace_co2_pct,headspace_n2_pct,indicator_group,indicator_type,indicator_threshold,indicator_unit,initial_indicator_value,is_control,treatment_type,application_method,ingredient_count,primary_ingredient_name,primary_ingredient_family,primary_concentration,primary_concentration_unit,shelf_life_days,data_origin,training_weight,quality_flag,source_rule_id,base_cheese_name,physical_form,physical_form_source,physical_form_confidence,endpoint_role,is_pathogen_indicator,canonical_indicator_unit,canonical_concentration_value,canonical_concentration_unit,split_group,shelf_life_days_v4_original,target_recalibration_factor,target_recalibration_note,model_task,is_challenge_test,initial_inoculum_log_cfu_g,target_is_lower_bound,growth_support,physical_form_observed,evidence_class,observed_fields,source_url,source_note,generation_rule_version,routing_category,matrix_profile_confidence,endpoint_threshold_basis
V7ROW_00009201,V7_SEMI_HARD_GEN_CTX_000001,V7_SEMI_HARD_GEN_CTX_000001_C,processed cheese,semi_hard,5.664,0.9448,46.22,22.11,19.02,2.47,2.0,1,8.0,sealed_container,20.9,0.04,79.06,microbiological,clostridia,3.5,log CFU/g,0.81,1,none,none,0,none,none,0.0,none,173.03,synthetic_literature_constrained_v7,1.15,passed_v7_scientific_rules,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,processed cheese,spread,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SEMI_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_calibrated_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pubmed.ncbi.nlm.nih.gov/40912557/; https://pmc.ncbi.nlm.nih.gov/articles/PMC10177814/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"C. tyrobutyricum challenge in washed-curd cheese: no late-blowing defect at 8C; 3/6 strains caused defect at 15C during 160 d aging. | Clostridial spores and late blowing in Grana-type hard cheese; higher spore loads associated with defect after 7 months. | Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009202,V7_SEMI_HARD_GEN_CTX_000001,V7_SEMI_HARD_GEN_CTX_000001_T1,processed cheese,semi_hard,5.664,0.9448,46.22,22.11,19.02,2.47,2.0,1,8.0,sealed_container,20.9,0.04,79.06,microbiological,clostridia,3.5,log CFU/g,0.81,0,enzyme,milk_addition,1,lysozyme,enzyme,90.91,mg/kg,252.67,synthetic_literature_constrained_v7,1.15,passed_v7_scientific_rules,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,processed cheese,spread,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,90.91,mg/kg,V7_SEMI_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_calibrated_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pubmed.ncbi.nlm.nih.gov/40912557/; https://pmc.ncbi.nlm.nih.gov/articles/PMC10177814/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"C. tyrobutyricum challenge in washed-curd cheese: no late-blowing defect at 8C; 3/6 strains caused defect at 15C during 160 d aging. | Clostridial spores and late blowing in Grana-type hard cheese; higher spore loads associated with defect after 7 months. | Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009203,V7_SEMI_HARD_GEN_CTX_000001,V7_SEMI_HARD_GEN_CTX_000001_T2,processed cheese,semi_hard,5.664,0.9448,46.22,22.11,19.02,2.47,2.0,1,8.0,sealed_container,20.9,0.04,79.06,microbiological,clostridia,3.5,log CFU/g,0.81,0,nitrate,milk_addition,1,potassium nitrate,nitrate,94.63,mg/kg,237.86,synthetic_literature_constrained_v7,1.15,passed_v7_scientific_rules,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,processed cheese,spread,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,94.63,mg/kg,V7_SEMI_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_calibrated_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pubmed.ncbi.nlm.nih.gov/40912557/; https://pmc.ncbi.nlm.nih.gov/articles/PMC10177814/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"C. tyrobutyricum challenge in washed-curd cheese: no late-blowing defect at 8C; 3/6 strains caused defect at 15C during 160 d aging. | Clostridial spores and late blowing in Grana-type hard cheese; higher spore loads associated with defect after 7 months. | Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009204,V7_SEMI_HARD_GEN_CTX_000001,V7_SEMI_HARD_GEN_CTX_000001_T3,processed cheese,semi_hard,5.664,0.9448,46.22,22.11,19.02,2.47,2.0,1,8.0,sealed_container,20.9,0.04,79.06,microbiological,clostridia,3.5,log CFU/g,0.81,0,protective_culture,culture_inoculation,1,protective lactobacillus culture,protective_culture,6.266,log CFU/g,197.02,synthetic_literature_constrained_v7,1.15,passed_v7_scientific_rules,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,processed cheese,spread,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,6.266,log CFU/g,V7_SEMI_HARD_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_calibrated_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pubmed.ncbi.nlm.nih.gov/40912557/; https://pmc.ncbi.nlm.nih.gov/articles/PMC10177814/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"C. tyrobutyricum challenge in washed-curd cheese: no late-blowing defect at 8C; 3/6 strains caused defect at 15C during 160 d aging. | Clostridial spores and late blowing in Grana-type hard cheese; higher spore loads associated with defect after 7 months. | Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009205,V7_SEMI_HARD_GEN_CTX_000002,V7_SEMI_HARD_GEN_CTX_000002_C,edam,semi_hard,5.466,0.9532,38.34,25.92,28.06,2.08,134.9,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,molds,4.0,log CFU/g,0.62,1,none,none,0,none,none,0.0,none,45.36,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,edam,wheel,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SEMI_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009206,V7_SEMI_HARD_GEN_CTX_000002,V7_SEMI_HARD_GEN_CTX_000002_T1,edam,semi_hard,5.466,0.9532,38.34,25.92,28.06,2.08,134.9,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,molds,4.0,log CFU/g,0.62,0,essential_oil,direct_addition,1,clove essential oil,essential_oil,0.4375,% w/w,50.55,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,edam,wheel,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.4375,% w/w,V7_SEMI_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009207,V7_SEMI_HARD_GEN_CTX_000002,V7_SEMI_HARD_GEN_CTX_000002_T2,edam,semi_hard,5.466,0.9532,38.34,25.92,28.06,2.08,134.9,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,molds,4.0,log CFU/g,0.62,0,coating,edible_coating,1,chitosan,biopolymer,1.423,% w/v,51.76,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,edam,wheel,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,1.423,% w/v,V7_SEMI_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009208,V7_SEMI_HARD_GEN_CTX_000002,V7_SEMI_HARD_GEN_CTX_000002_T3,edam,semi_hard,5.466,0.9532,38.34,25.92,28.06,2.08,134.9,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,molds,4.0,log CFU/g,0.62,0,antifungal,surface_dip,1,natamycin,antifungal,12.73,mg/kg,59.1,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,edam,wheel,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,12.73,mg/kg,V7_SEMI_HARD_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8595390/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Natamycin review: antifungal, not antibacterial; cheese coatings/films; Saloio/soft/semi-hard examples and concentration/application ranges.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009209,V7_SEMI_HARD_GEN_CTX_000003,V7_SEMI_HARD_GEN_CTX_000003_C,colby,semi_hard,5.194,0.9455,41.71,31.82,23.79,1.86,81.7,1,7.0,map_50co2_50n2,0.5,50.0,49.5,microbiological,yeasts_molds,5.0,log CFU/g,0.94,1,none,none,0,none,none,0.0,none,37.58,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW,colby,sliced,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SEMI_HARD_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00009210,V7_SEMI_HARD_GEN_CTX_000003,V7_SEMI_HARD_GEN_CTX_000003_T1,colby,semi_hard,5.194,0.9455,41.71,31.82,23.79,1.86,81.7,1,7.0,map_50co2_50n2,0.5,50.0,49.5,microbiological,yeasts_molds,5.0,log CFU/g,0.94,0,essential_oil,edible_coating,1,thyme essential oil,essential_oil,0.176,% w/w,45.1,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,colby,sliced,literature_supported_typical_form,0.82,spoilage_microbiology,0,log CFU/g,0.176,% w/w,V7_SEMI_HARD_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469587/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Review of hard/semi-hard cheese preservation: vacuum/MAP, fractionated forms, CO2 20-60% antimicrobial range, Parmigiano/Gouda vacuum portions about 10 weeks, Provolone MAP studies up to 280 days, natamycin surface use and preservation technologies. | Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,semi_hard,0.86,quality/spoilage threshold from literature-constrained V7 rule
