row_id,context_id,formulation_id,food_matrix,cheese_category,matrix_ph,matrix_water_activity,matrix_moisture_pct,matrix_fat_pct,matrix_protein_pct,matrix_salt_pct,matrix_ripening_days,pasteurization_applied,storage_temperature_c,packaging_type,headspace_oxygen_pct,headspace_co2_pct,headspace_n2_pct,indicator_group,indicator_type,indicator_threshold,indicator_unit,initial_indicator_value,is_control,treatment_type,application_method,ingredient_count,primary_ingredient_name,primary_ingredient_family,primary_concentration,primary_concentration_unit,shelf_life_days,data_origin,training_weight,quality_flag,source_rule_id,base_cheese_name,physical_form,physical_form_source,physical_form_confidence,endpoint_role,is_pathogen_indicator,canonical_indicator_unit,canonical_concentration_value,canonical_concentration_unit,split_group,shelf_life_days_v4_original,target_recalibration_factor,target_recalibration_note,model_task,is_challenge_test,initial_inoculum_log_cfu_g,target_is_lower_bound,growth_support,physical_form_observed,evidence_class,observed_fields,source_url,source_note,generation_rule_version,routing_category,matrix_profile_confidence,endpoint_threshold_basis
V7ROW_00020401,V7_SOFT_GEN_CTX_000001,V7_SOFT_GEN_CTX_000001_C,fior di latte,soft,5.178,0.9916,61.93,20.08,19.49,0.68,0.4,1,8.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,pseudomonas_spp,6.0,log CFU/g,2.06,1,none,none,0,none,none,0.0,none,2.72,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,fior di latte,fresh_ball,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SOFT_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020402,V7_SOFT_GEN_CTX_000001,V7_SOFT_GEN_CTX_000001_T1,fior di latte,soft,5.178,0.9916,61.93,20.08,19.49,0.68,0.4,1,8.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,pseudomonas_spp,6.0,log CFU/g,2.06,0,organic_acid,direct_addition,1,acetic acid,organic_acid,0.2437,% w/w,2.8,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,fior di latte,fresh_ball,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.2437,% w/w,V7_SOFT_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020403,V7_SOFT_GEN_CTX_000001,V7_SOFT_GEN_CTX_000001_T2,fior di latte,soft,5.178,0.9916,61.93,20.08,19.49,0.68,0.4,1,8.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,pseudomonas_spp,6.0,log CFU/g,2.06,0,protective_culture,culture_inoculation,1,protective lactobacillus culture,protective_culture,5.402,log CFU/g,3.12,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,fior di latte,fresh_ball,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,5.402,log CFU/g,V7_SOFT_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020404,V7_SOFT_GEN_CTX_000001,V7_SOFT_GEN_CTX_000001_T3,fior di latte,soft,5.178,0.9916,61.93,20.08,19.49,0.68,0.4,1,8.0,map_30co2_70n2,0.5,30.0,69.5,microbiological,pseudomonas_spp,6.0,log CFU/g,2.06,0,essential_oil,edible_coating,1,oregano essential oil,essential_oil,0.562,% w/w,3.26,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PLANT_REVIEW,fior di latte,fresh_ball,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.562,% w/w,V7_SOFT_GEN_CTX_000001,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020405,V7_SOFT_GEN_CTX_000002,V7_SOFT_GEN_CTX_000002_C,brie,soft,6.285,0.9755,52.94,25.85,19.32,1.54,34.4,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,total_viable_count,7.0,log CFU/g,3.81,1,none,none,0,none,none,0.0,none,15.44,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SOFT_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020406,V7_SOFT_GEN_CTX_000002,V7_SOFT_GEN_CTX_000002_T1,brie,soft,6.285,0.9755,52.94,25.85,19.32,1.54,34.4,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,total_viable_count,7.0,log CFU/g,3.81,0,essential_oil,direct_addition,1,oregano essential oil,essential_oil,0.0871,% w/w,16.82,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PLANT_REVIEW,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.0871,% w/w,V7_SOFT_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020407,V7_SOFT_GEN_CTX_000002,V7_SOFT_GEN_CTX_000002_T2,brie,soft,6.285,0.9755,52.94,25.85,19.32,1.54,34.4,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,total_viable_count,7.0,log CFU/g,3.81,0,organic_acid_salt,direct_addition,1,sodium lactate,organic_acid_salt,1.4187,% w/w,16.65,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,1.4187,% w/w,V7_SOFT_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020408,V7_SOFT_GEN_CTX_000002,V7_SOFT_GEN_CTX_000002_T3,brie,soft,6.285,0.9755,52.94,25.85,19.32,1.54,34.4,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,total_viable_count,7.0,log CFU/g,3.81,0,bacteriocin,edible_coating,1,nisin,bacteriocin,334.48,IU/g,16.81,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,334.48,IU/g,V7_SOFT_GEN_CTX_000002,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020409,V7_SOFT_GEN_CTX_000003,V7_SOFT_GEN_CTX_000003_C,brie,soft,6.296,0.9722,50.53,27.72,19.11,1.59,38.5,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,coliforms,4.0,log CFU/g,1.36,1,none,none,0,none,none,0.0,none,14.36,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SOFT_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020410,V7_SOFT_GEN_CTX_000003,V7_SOFT_GEN_CTX_000003_T1,brie,soft,6.296,0.9722,50.53,27.72,19.11,1.59,38.5,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,coliforms,4.0,log CFU/g,1.36,0,essential_oil,edible_coating,1,thyme essential oil,essential_oil,0.3867,% w/w,17.5,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PLANT_REVIEW,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.3867,% w/w,V7_SOFT_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020411,V7_SOFT_GEN_CTX_000003,V7_SOFT_GEN_CTX_000003_T2,brie,soft,6.296,0.9722,50.53,27.72,19.11,1.59,38.5,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,coliforms,4.0,log CFU/g,1.36,0,organic_acid,direct_addition,1,acetic acid,organic_acid,0.1282,% w/w,16.2,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.1282,% w/w,V7_SOFT_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020412,V7_SOFT_GEN_CTX_000003,V7_SOFT_GEN_CTX_000003_T3,brie,soft,6.296,0.9722,50.53,27.72,19.11,1.59,38.5,1,8.0,sealed_high_barrier,20.9,0.04,79.06,microbiological,coliforms,4.0,log CFU/g,1.36,0,organic_acid,direct_addition,1,lactic acid,organic_acid,0.6,% w/w,15.63,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,brie,whole_soft,literature_supported_typical_form,0.88,spoilage_microbiology,0,log CFU/g,0.6,% w/w,V7_SOFT_GEN_CTX_000003,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020413,V7_SOFT_GEN_CTX_000004,V7_SOFT_GEN_CTX_000004_C,cottage cheese,soft,4.86,0.9833,77.87,5.36,12.47,1.25,0.4,1,8.0,foil_sealed_cup,20.9,0.04,79.06,microbiological,pseudomonas_spp,6.0,log CFU/g,2.03,1,none,none,0,none,none,0.0,none,6.06,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,cottage cheese,curd,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.0,none,V7_SOFT_GEN_CTX_000004,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020414,V7_SOFT_GEN_CTX_000004,V7_SOFT_GEN_CTX_000004_T1,cottage cheese,soft,4.86,0.9833,77.87,5.36,12.47,1.25,0.4,1,8.0,foil_sealed_cup,20.9,0.04,79.06,microbiological,pseudomonas_spp,6.0,log CFU/g,2.03,0,protective_culture,culture_inoculation,1,protective lactobacillus culture,protective_culture,6.0726,log CFU/g,6.76,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,cottage cheese,curd,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,6.0726,log CFU/g,V7_SOFT_GEN_CTX_000004,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020415,V7_SOFT_GEN_CTX_000004,V7_SOFT_GEN_CTX_000004_T2,cottage cheese,soft,4.86,0.9833,77.87,5.36,12.47,1.25,0.4,1,8.0,foil_sealed_cup,20.9,0.04,79.06,microbiological,pseudomonas_spp,6.0,log CFU/g,2.03,0,essential_oil,direct_addition,1,thyme essential oil,essential_oil,0.292,% w/w,7.28,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PLANT_REVIEW,cottage cheese,curd,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.292,% w/w,V7_SOFT_GEN_CTX_000004,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020416,V7_SOFT_GEN_CTX_000004,V7_SOFT_GEN_CTX_000004_T3,cottage cheese,soft,4.86,0.9833,77.87,5.36,12.47,1.25,0.4,1,8.0,foil_sealed_cup,20.9,0.04,79.06,microbiological,pseudomonas_spp,6.0,log CFU/g,2.03,0,essential_oil,edible_coating,1,oregano essential oil,essential_oil,0.4999,% w/w,7.34,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PLANT_REVIEW,cottage cheese,curd,literature_supported_typical_form,0.9,spoilage_microbiology,0,log CFU/g,0.4999,% w/w,V7_SOFT_GEN_CTX_000004,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC7223362/,"Plant-preservative review: matrix-dependent EO effects; commonly effective food concentrations around 0.05-0.1%, with some cheese studies at 0.5-1.5%; high levels can cause sensory penalties.",V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
V7ROW_00020417,V7_SOFT_GEN_CTX_000005,V7_SOFT_GEN_CTX_000005_C,gorgonzola,soft,6.036,0.9596,47.14,27.99,19.61,2.75,105.9,1,4.0,map_30co2_70n2,0.5,30.0,69.5,sensory,sensory_acceptability,5.0,score/9,8.64,1,none,none,0,none,none,0.0,none,78.63,synthetic_literature_constrained_v7,1.0,passed_v7_scientific_rules,V7|PH_CHEESE,gorgonzola,wheel_or_wedge,literature_supported_typical_form,0.9,sensory_quality,0,score/9,0.0,none,V7_SOFT_GEN_CTX_000005,,,regenerated from evidence-constrained V7 rules; no V4 post-hoc multiplier,general_shelf_life,0,,0,,0,literature_constrained_synthetic,"none: row is synthetic; literature sources constrain ranges, directions, and selected calibrated scenarios",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771476/,Review of pH and cheese safety: pathogen growth depends on pH/aw; soft high-pH cheeses are more permissive; Gouda/Edam-like lower-pH cheeses less supportive; market-cheese comparisons summarized.,V7_EVIDENCE_CONSTRAINED_2026-08-24,soft,0.86,quality/spoilage threshold from literature-constrained V7 rule
