Article #,ingredient 1,Concentration ,Unit of concentration ,Normalized concentration % of meat,Chemical composition,source,ingredient 2,Concentration ,Unit of concentration ,Normalized concentration %,Chemical chomposition,Source,ingredient 3,Concentration ,Unit of concentration ,Normalized concentration,Chemical composition,Source,ingredient 4,Concentration ,Unit of concentration ,Normalized concentration,chemical composition,source,Immersion time,Packaging condition,Storage condition (°C),Meat type,meat type 2,part of product,Treatment,Combined treatment, Indicators,Type of indicator,Lower Level Threshold (log CFU/g),Upper Level Threshold (log CFU/g),Unit,Initial Count (Day 0),Pre-threshold   (Day),Pre-threshold Count,Efficacité pre-threshols,Initial inhibition factor,Pre-Threshold Proximity Index 1(TPI),Pre-Threshold Proximity Index 2(TPI),Efficacité pre-threshols proximity ,Post-threshold (Day),Post-threshold Count,Efficacité of Post-threshold,Efficiency,post inhibition factor ,Post-Threshold Proximity Index 1(TPI),Post-Threshold Proximity Index 2(TPI),Efficacité post-threshols proximity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,-,25,fish,fish,skinless carp fillets,,,TVC,Microbial,5,7,log CFU/g,3.6,1,3.6,2,0.00,0.72,0.51,3,2,8.7,1,1.208,5.100,1.74,1.243,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,ANM,,TVC,Microbial,5,7,log CFU/g,2.2,1,2.2,3,0.00,0.44,0.31,3,2,7.6,2,1.727,5.400,1.52,1.086,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,TVC,Microbial,5,7,log CFU/g,2.3,1,2.3,3,0.00,0.46,0.33,3,2,7.5,2,1.630,5.200,1.5,1.071,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TVC,Microbial,5,7,log CFU/g,2.6,1,2.6,3,0.00,0.52,0.37,3,2,6.4,3,1.231,3.800,1.28,0.914,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TVC,Microbial,5,7,log CFU/g,2.2,2,5.6,1,1.70,1.12,0.80,2,3,7.5,2,0.893,1.900,1.5,1.071,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TVC,Microbial,5,7,log CFU/g,2.1,2,5.4,1,1.65,1.08,0.77,2,3,7.2,3,0.889,1.800,1.44,1.029,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,-,25,fish,fish,skinless carp fillets,,,TVBN,Chemical,20,30,mg/100g,11.40,1,11.4,3,,0.57,0.380,3,2,41,2,1.80,29.600,2.05,1.37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,ANM,,TVBN,Chemical,20,30,mg/100g,8.40,2,26.9,2,9.250,1.35,0.897,2,3,64.5,1,1.60,37.600,3.23,2.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,cathodic NaCl solution,1,% (w/w),1,Mineral,other natural sources,carvacrol EO,0,% (w/w),0,,,thymol EO,0,% (w/w),0,,,,,25,fish,fish,skinless carp fillets,,,TVBN,Chemical,20,30,mg/100g,7.00,2,24.9,2,8.950,1.25,0.830,2,3,60.1,1,1.61,35.200,3.01,2.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0064,anodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,cathodic NaCl solution,0,% (w/w),0,Mineral,other natural sources,carvacrol EO,0.5,% (w/w),0.5,Essential oil,plant,thymol EO,0.5,% (w/w),0.5,Essential oil,plant,,,25,fish,fish,skinless carp fillets,ANM,,TVBN,Chemical,20,30,mg/100g,6.90,2,21.2,2,7.150,1.06,0.707,2,3,42.9,2,1.35,21.700,2.15,1.43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
