NT,Eau stérile (contrôle)​,-​
PA,Acide péracétique​,500 ppm​
N5,Nisine​,CMI x 500
N10,Nisine​,CMI x 1000​
PAN,Nisine + Acide péracétique​,CMI x 500 + 250 ppm ​
B5,Brévibacilline​,CMI x 500
B10,Brévibacilline​,CMI x 1000​
NB,Brévibacilline + Nisine​,CMI x 500 + CMI x 500 ​
F3,Émulsion F3​,2%/g de crevette​
F4,Émulsion F4​,2%/g de crevette​
,,
,​,
,"F3 : 0,3% sunflower lecithin, 9% lime extract, 9,5% lime oil, 0,5% lemon oil, 1,3% orange oil​",
,"F4 : 0,025% garlic extract, 0,2% grape and blueberry, 0,2% cranberry",
