Replicate,Ingredient,Day,Peroxide_Value,Total_bacteria_count_log,TVB_N,TMA_N
1,NT,1,0,2.501971925,0.65464,0.51436
2,NT,1,0.109852081,2.46490844,2.09802069,0.161386207
3,NT,1,0.206723404,2.515180212,0.435594568,0.197997531
1,NT,3,0.503730882,2.82916096,0.22007451,0
2,NT,3,0.393878801,3.046019438,0.205594872,0
3,NT,3,0.400466051,3.462176806,0.302430168,0
1,NT,5,0.439214581,4.352571354,0.611423398,0
2,NT,5,0.406859559,4.303452469,0.425854253,0
3,NT,5,0.413253066,4.225092866,5.163185895,0
1,NT,7,0.400466051,5.528070191,0,0
2,NT,7,0.426233824,5.644155153,0,0
3,NT,7,0.51012439,5.920535175,0,0
1,NT,9,0.600602206,7.087642359,9.464281975,2.336370864
2,NT,9,0.678099265,7.138862079,20.77876964,9.961188916
3,NT,9,0.548872919,7.59998652,7.605408661,1.469952934
1,NT,11,0.439214581,8.090966354,23.89897739,5.661283993
2,NT,11,0.426233824,8.102177349,29.21359169,11.32771923
3,NT,11,0.290613971,8.468760124,24.74069521,8.354000982
1,NT,14,0.600602206,8.564258198,51.76155105,15.61381414
2,NT,14,0.445608088,8.300253185,48.97309455,12.93243636
3,NT,14,0.723241301,8.34703254,63.1846611,17.25359339
1,F4,1,0.529498654,2.609226307,0.839121905,0.381419048
2,F4,1,0.600602206,2.591226589,2.306252766,0.397629787
3,F4,1,0.200136154,2.596008719,3.12763619,2.441081905
1,F4,3,0.381091787,3.366749184,1.462075789,0
2,F4,3,0.606995713,3.442691,0.63484202,0
3,F4,3,0.51012439,3.264449415,2.535477013,0.327158324
1,F4,5,0.561853676,4.769361885,0,0
2,F4,5,0.258258949,4.573436213,0,0
3,F4,5,0.432627331,4.553381845,0,0
1,F4,7,0.484356618,5.337508451,0,0
2,F4,7,0.490750125,5.49705859,0,0
3,F4,7,0.51671164,5.46984683,0,0
1,F4,9,0.464982353,8.288724328,4.505787451,0.879178039
2,F4,9,0.820112625,7.687290432,5.482742222,0
3,F4,9,0.910590441,8.180675846,3.68401784,1.473607136
1,F4,11,0.445608088,9.419018797,1.310177732,0.154138557
2,F4,11,0.606995713,9.130346508,6.233888889,1.147035556
3,F4,11,0.51012439,9.083618239,9.744966197,0.579430423
1,F4,14,0.613582963,8.686567127,15.86168511,2.026382679
2,F4,14,0.387485294,9.066111054,15.27472832,0.703020969
3,F4,14,0.561853676,9.530585137,19.82523407,1.453158519
1,F3,1,0,2.674932218,1.35604,0
2,F3,1,0.071103551,2.424354304,1.222099487,0
3,F3,1,0,2.640438483,0.419942322,0.419942322
1,F3,3,0.691080022,3.046451592,0,0
2,F3,3,0.432627331,2.94493729,0.2338,0
3,F3,3,0.678099265,3.048924315,0,0
1,F3,5,0.542479412,4.312926096,0.778729524,0
2,F3,5,0.555460169,4.197079048,0.803270877,0
3,F3,5,0.51012439,4.235097286,0,0
1,F3,7,0.542479412,5.725791154,0,0
2,F3,7,0.361717522,5.667454161,0,0
3,F3,7,0.639350735,5.664466391,0,0
1,F3,9,0.484356618,6.915278729,22.13537621,20.59616131
2,F3,9,0.497337375,7.148799419,27.52284889,21.54503556
3,F3,9,0.555460169,7.223726659,22.6198,12.37348
1,F3,11,0.51671164,8.217261052,45.39874255,16.0258023
2,F3,11,0.432627331,7.844352209,21.34722745,14.48090275
3,F3,11,0.51012439,7.530454417,24.74069521,17.85552957
1,F3,14,0.232491176,8.19365859,46.54114769,10.29773231
2,F3,14,0.503730882,8.99983344,41.16020564,NA
3,F3,14,0.626369978,8.552439471,34.96569448,12.63432459
1,N5,1,0.045142037,2.094736547,1.728056863,1.82231451
2,N5,1,0.271239706,2.039976834,1.989251009,4.458666055
3,N5,1,0.032355022,1.912086808,1.47572254,0.86507873
1,N5,3,0.678099265,2.36610411,1.549373333,0
2,N5,3,0.729828551,2.197727211,0,0
3,N5,3,0.548872919,2.135657583,0.3338,0
1,N5,5,0.542479412,3.480874821,0,0
2,N5,5,0.629663603,3.927508671,0.200824448,0
3,N5,5,0,3.726921681,0,0
1,N5,7,0.542479412,5.114008074,0,0
2,N5,7,0.006393507,4.52160901,0,0
3,N5,7,0,5.423212155,0,0
1,N5,9,0.064516301,5.594542883,3.412874872,1.439164103
2,N5,9,0.335756007,5.867125909,3.221078443,0
3,N5,9,0.355130272,5.597392619,3.2324532,0.571397037
1,N5,11,0.284220463,6.50051486,8.570672053,4.706438411
2,N5,11,0.452001596,7.106535178,26.93593474,5.848303158
3,N5,11,0.361717522,6.380775747,6.19156404,7.747559192
1,N5,14,0.374504537,7.699857931,52.23174864,17.06738716
2,N5,14,0.432627331,8.004157191,65.65638403,11.02908818
3,N5,14,0.774970588,7.888218138,47.03080628,16.6245557
1,N10,1,0.322968993,2.152344792,1.606657284,2.60389284
2,N10,1,0.161387625,1.856725528,1.09583954,1.482606437
3,N10,1,0,1.70166752,1.36510963,0.652878519
1,N10,3,0.368111029,2.012093354,0.285191111,0
2,N10,3,0.413253066,2.138102845,0,0.189975973
3,N10,3,0.723241301,2.102018096,0,0
1,N10,5,0.303594728,3.504762468,2.790005481,0
